customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Female,0,Yes,No,63,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,90.96,5630.99,No
CUST-00002,Male,0,Yes,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,90.6,1395.26,Yes
CUST-00003,Male,0,No,Yes,58,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),65.96,3877.65,No
CUST-00004,Female,0,Yes,No,28,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,38.11,1095.01,No
CUST-00005,Female,0,No,Yes,8,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,46.88,399.99,Yes
CUST-00006,Male,0,No,No,35,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),30.25,998.97,No
CUST-00007,Female,0,No,No,34,Yes,No,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),43.13,1443.14,No
CUST-00008,Male,0,Yes,No,37,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.81,3780.44,Yes
CUST-00009,Female,0,Yes,No,62,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),61.64,3757.13,Yes
CUST-00010,Female,0,No,Yes,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,39.37,794.53,No
CUST-00011,Male,0,No,No,46,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,57.09,2558.4,No
CUST-00012,Male,0,No,Yes,15,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),56.6,876.05,No
CUST-00013,Male,0,Yes,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,101.32,6453.48,No
CUST-00014,Male,0,Yes,Yes,33,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),54.39,1850.81,No
CUST-00015,Male,0,Yes,No,58,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Electronic check,63.95,3715.96,No
CUST-00016,Male,0,No,No,20,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,37.4,765.67,Yes
CUST-00017,Male,0,Yes,No,23,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,109.77,2546.99,Yes
CUST-00018,Female,0,No,No,71,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,71.64,5154.01,No
CUST-00019,Male,1,Yes,No,15,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),39.79,626.05,Yes
CUST-00020,Female,0,Yes,No,41,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),41.22,1741.27,Yes
CUST-00021,Male,1,No,No,24,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,96.96,2299.39,No
CUST-00022,Female,0,No,No,29,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,105.22,3019.8,No
CUST-00023,Female,0,No,No,51,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),66.07,3301.52,No
CUST-00024,Male,0,Yes,No,57,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,104.84,5999.38,No
CUST-00025,Male,0,No,Yes,35,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,93.14,3241.41,No
CUST-00026,Male,1,Yes,No,46,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,121.75,5595.22,No
CUST-00027,Female,0,No,No,4,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),55.21,221.71,No
CUST-00028,Male,1,No,No,17,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,125.0,2146.65,Yes
CUST-00029,Male,1,Yes,Yes,54,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,105.28,5659.56,No
CUST-00030,Female,0,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,45.7,2208.61,No
CUST-00031,Female,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,92.9,316.7,No
CUST-00032,Female,0,Yes,No,65,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,61.9,4077.69,No
CUST-00033,Female,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,79.85,2295.45,Yes
CUST-00034,Male,0,Yes,No,22,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,No,Electronic check,87.67,1879.71,No
CUST-00035,Male,0,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,54.25,1874.44,No
CUST-00036,Female,1,No,No,29,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),125.0,3651.63,No
CUST-00037,Male,0,No,Yes,37,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),72.58,2713.04,No
CUST-00038,Male,0,No,Yes,12,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,83.45,942.44,No
CUST-00039,Female,0,No,No,11,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,94.31,902.14,No
CUST-00040,Male,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,92.19,6699.14,No
CUST-00041,Female,1,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,96.79,5227.27,No
CUST-00042,Male,0,Yes,No,27,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Electronic check,103.36,2817.8,No
CUST-00043,Male,1,No,Yes,62,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,121.75,7508.8,Yes
CUST-00044,Female,0,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),80.4,4661.62,No
CUST-00045,Female,1,No,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),78.95,3953.91,No
CUST-00046,Male,0,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,125.0,6486.75,No
CUST-00047,Female,0,Yes,Yes,69,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,85.27,5922.35,No
CUST-00048,Male,0,No,No,61,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),50.17,2964.21,No
CUST-00049,Male,0,Yes,No,19,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),58.21,1204.1,Yes
CUST-00050,Male,0,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),58.33,3029.82,No
CUST-00051,Male,0,Yes,Yes,12,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,No,Mailed check,118.75,1396.99,Yes
CUST-00052,Female,0,Yes,Yes,37,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,No,Mailed check,46.89,1719.25,No
CUST-00053,Female,0,No,No,5,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,34.24,267.86,Yes
CUST-00054,Female,0,No,Yes,13,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),108.05,1393.89,Yes
CUST-00055,Female,0,No,Yes,52,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),125.0,6527.29,No
CUST-00056,Female,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,27.22,682.63,No
CUST-00057,Male,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,118.75,1400.52,No
CUST-00058,Female,0,No,Yes,71,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,44.42,3155.81,No
CUST-00059,Male,0,No,No,68,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),21.25,1360.78,No
CUST-00060,Male,0,No,No,17,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,40.26,629.75,No
CUST-00061,Male,0,No,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),71.83,3135.71,No
CUST-00062,Male,0,Yes,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),57.22,1280.66,No
CUST-00063,Female,1,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Mailed check,67.31,3902.04,No
CUST-00064,Male,0,No,No,50,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),53.49,2705.34,No
CUST-00065,Female,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),33.29,1025.34,Yes
CUST-00066,Female,0,Yes,Yes,68,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),105.11,7204.93,No
CUST-00067,Male,0,Yes,No,53,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),68.7,3671.51,No
CUST-00068,Female,0,No,No,11,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,106.76,1158.07,No
CUST-00069,Female,0,No,No,32,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,93.31,2963.65,No
CUST-00070,Female,0,No,No,60,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,62.14,3705.83,No
CUST-00071,Male,0,Yes,No,39,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,69.1,2653.15,No
CUST-00072,Female,0,No,No,8,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),33.25,242.27,No
CUST-00073,Female,0,No,No,56,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,109.92,6151.18,No
CUST-00074,Female,1,No,No,35,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,87.36,3067.43,No
CUST-00075,Male,1,Yes,No,18,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),87.15,1606.81,No
CUST-00076,Female,1,No,No,59,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),45.34,2683.89,No
CUST-00077,Female,1,No,No,64,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,73.16,4621.19,No
CUST-00078,Female,0,No,No,43,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),35.54,1521.43,No
CUST-00079,Male,0,No,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,38.8,2048.66,No
CUST-00080,Male,0,No,Yes,18,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,112.43,2107.8,Yes
CUST-00081,Male,0,Yes,No,54,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,62.21,3356.63,No
CUST-00082,Female,0,No,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),68.4,4511.99,No
CUST-00083,Female,1,No,Yes,18,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),40.35,719.45,Yes
CUST-00084,Male,0,Yes,Yes,68,No,No phone service,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,40.55,2767.94,No
CUST-00085,Male,0,Yes,No,7,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),38.51,234.03,Yes
CUST-00086,Male,0,No,No,33,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,60.67,2044.9,No
CUST-00087,Female,0,Yes,No,6,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,50.74,315.53,Yes
CUST-00088,Female,0,No,No,33,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),71.45,2460.52,No
CUST-00089,Male,0,Yes,No,47,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Mailed check,97.7,4589.02,No
CUST-00090,Male,0,Yes,No,63,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,115.85,7334.96,No
CUST-00091,Female,0,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),83.69,900.92,No
CUST-00092,Male,1,No,No,64,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,41.39,2662.19,No
CUST-00093,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),42.41,3079.78,No
CUST-00094,Female,0,Yes,No,5,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,42.44,294.77,No
CUST-00095,Male,0,Yes,Yes,70,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,74.34,5186.58,No
CUST-00096,Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),115.07,7575.73,Yes
CUST-00097,Female,0,No,No,3,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),98.66,297.26,No
CUST-00098,Male,1,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),121.75,530.83,Yes
CUST-00099,Male,0,No,No,53,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,81.63,4364.68,No
CUST-00100,Female,0,Yes,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),53.73,1662.98,No
CUST-00101,Male,0,No,No,19,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Electronic check,80.06,1541.55,Yes
CUST-00102,Female,0,Yes,No,30,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,21.25,616.13,No
CUST-00103,Male,0,Yes,No,25,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,72.43,1806.0,Yes
CUST-00104,Female,0,Yes,No,71,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Mailed check,70.99,5068.49,No
CUST-00105,Male,1,Yes,No,18,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,36.65,680.76,Yes
CUST-00106,Male,0,Yes,No,7,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,108.42,713.86,Yes
CUST-00107,Male,0,No,No,60,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),62.61,3795.23,No
CUST-00108,Male,0,Yes,No,61,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,58.03,3549.36,No
CUST-00109,Female,0,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.21,1496.66,No
CUST-00110,Male,1,No,No,70,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),77.46,5403.15,No
CUST-00111,Female,0,No,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),118.75,382.55,Yes
CUST-00112,Male,0,No,No,56,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),91.0,5047.96,No
CUST-00113,Male,0,No,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,105.7,2062.34,Yes
CUST-00114,Female,0,Yes,Yes,31,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),65.05,2065.66,No
CUST-00115,Male,0,Yes,No,33,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,104.67,3466.81,Yes
CUST-00116,Male,0,No,No,71,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,59.18,4223.64,No
CUST-00117,Female,0,No,Yes,38,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,53.1,2006.62,No
CUST-00118,Female,0,No,No,17,No,No phone service,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,94.75,1635.48,No
CUST-00119,Female,0,No,Yes,7,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),124.06,836.85,Yes
CUST-00120,Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),58.84,2550.45,Yes
CUST-00121,Female,0,No,No,60,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,79.32,4710.31,No
CUST-00122,Male,0,No,No,52,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Mailed check,30.25,1619.64,No
CUST-00123,Male,0,No,No,68,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,40.33,2785.05,No
CUST-00124,Female,0,No,Yes,4,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,118.75,461.09,No
CUST-00125,Male,0,No,No,30,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,67.61,2007.17,No
CUST-00126,Male,0,No,Yes,45,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,66.09,3000.29,No
CUST-00127,Female,0,No,No,62,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),91.72,5642.62,No
CUST-00128,Male,1,Yes,No,23,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),37.82,841.16,Yes
CUST-00129,Male,0,Yes,Yes,49,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,103.36,5116.69,Yes
CUST-00130,Male,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,91.69,1363.28,No
CUST-00131,Male,0,Yes,No,43,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,74.7,3223.69,Yes
CUST-00132,Male,0,Yes,No,56,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Mailed check,125.0,6940.2,No
CUST-00133,Female,0,No,Yes,59,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,34.24,2043.34,No
